,Step,C,H2,CO,CO2,H20,CH4
0,18942789.0,0.407,0.096,0.285,0.022,0.753,0.087
1,20286609.0,0.41,0.112,0.418,0.028,0.999,0.141
2,24700118.0,0.396,0.104,0.383,0.024,0.918,0.157
3,37862992.0,0.41,0.103,0.343,0.05,0.902,0.094
4,58934930.0,0.402,0.114,0.394,0.051,0.945,0.138
5,79872576.0,0.408,0.085,0.314,0.043,0.703,0.091
6,83563550.0,0.411,0.095,0.292,0.043,0.668,0.101
7,84327042.0,0.408,0.103,0.346,0.036,0.885,0.121
8,90074523.0,0.405,0.116,0.387,0.052,0.867,0.115
9,97011894.0,0.398,0.109,0.33,0.046,0.871,0.112
